"Dose","MTDFreq","Npat","Noverall","DLTRate","Design","Scenario"
"AllToxic",0,0,30,0.182733333333333,"BOIN","Steep"
"10",0.001,4.122,30,0.182733333333333,"BOIN","Steep"
"25",0.036,6.252,30,0.182733333333333,"BOIN","Steep"
"50",0.392,8.889,30,0.182733333333333,"BOIN","Steep"
"100",0.48,7.92,30,0.182733333333333,"BOIN","Steep"
"200",0.082,2.469,30,0.182733333333333,"BOIN","Steep"
"400",0.009,0.342,30,0.182733333333333,"BOIN","Steep"
"800",0,0.006,30,0.182733333333333,"BOIN","Steep"
"AllToxic",0,0,30,0.174733333333333,"Keyboard","Steep"
"10",0.001,4.143,30,0.174733333333333,"Keyboard","Steep"
"25",0.055,6.495,30,0.174733333333333,"Keyboard","Steep"
"50",0.385,9.393,30,0.174733333333333,"Keyboard","Steep"
"100",0.465,7.44,30,0.174733333333333,"Keyboard","Steep"
"200",0.091,2.241,30,0.174733333333333,"Keyboard","Steep"
"400",0.003,0.282,30,0.174733333333333,"Keyboard","Steep"
"800",0,0.006,30,0.174733333333333,"Keyboard","Steep"
"AllToxic",0,0,33,0.164242424242424,"BOIN","SShape"
"10",0,3.171,33,0.164242424242424,"BOIN","SShape"
"25",0,3.264,33,0.164242424242424,"BOIN","SShape"
"50",0,3.576,33,0.164242424242424,"BOIN","SShape"
"100",0.095,7.401,33,0.164242424242424,"BOIN","SShape"
"200",0.831,11.355,33,0.164242424242424,"BOIN","SShape"
"400",0.069,3.927,33,0.164242424242424,"BOIN","SShape"
"800",0.005,0.306,33,0.164242424242424,"BOIN","SShape"
"AllToxic",0,0,33,0.159575757575758,"Keyboard","SShape"
"10",0,3.174,33,0.159575757575758,"Keyboard","SShape"
"25",0,3.267,33,0.159575757575758,"Keyboard","SShape"
"50",0,3.597,33,0.159575757575758,"Keyboard","SShape"
"100",0.098,7.593,33,0.159575757575758,"Keyboard","SShape"
"200",0.834,11.478,33,0.159575757575758,"Keyboard","SShape"
"400",0.064,3.639,33,0.159575757575758,"Keyboard","SShape"
"800",0.004,0.252,33,0.159575757575758,"Keyboard","SShape"
"AllToxic",0,0,36,0.151833333333333,"BOIN","Flat"
"10",0,3.006,36,0.151833333333333,"BOIN","Flat"
"25",0,3.048,36,0.151833333333333,"BOIN","Flat"
"50",0,3.315,36,0.151833333333333,"BOIN","Flat"
"100",0.001,4.2,36,0.151833333333333,"BOIN","Flat"
"200",0.181,7.818,36,0.151833333333333,"BOIN","Flat"
"400",0.76,10.872,36,0.151833333333333,"BOIN","Flat"
"800",0.058,3.741,36,0.151833333333333,"BOIN","Flat"
"AllToxic",0,0,36,0.147833333333333,"Keyboard","Flat"
"10",0,3.006,36,0.147833333333333,"Keyboard","Flat"
"25",0,3.048,36,0.147833333333333,"Keyboard","Flat"
"50",0,3.315,36,0.147833333333333,"Keyboard","Flat"
"100",0.003,4.227,36,0.147833333333333,"Keyboard","Flat"
"200",0.182,8.154,36,0.147833333333333,"Keyboard","Flat"
"400",0.755,10.806,36,0.147833333333333,"Keyboard","Flat"
"800",0.06,3.444,36,0.147833333333333,"Keyboard","Flat"
"AllToxic",0,0,42,0.0485,"BOIN","AllSafe"
"10",0,3.18,42,0.0485,"BOIN","AllSafe"
"25",0,3.216,42,0.0485,"BOIN","AllSafe"
"50",0,3.27,42,0.0485,"BOIN","AllSafe"
"100",0,3.429,42,0.0485,"BOIN","AllSafe"
"200",0,3.72,42,0.0485,"BOIN","AllSafe"
"400",0.007,4.515,42,0.0485,"BOIN","AllSafe"
"800",0.993,20.67,42,0.0485,"BOIN","AllSafe"
"AllToxic",0,0,42,0.0483809523809524,"Keyboard","AllSafe"
"10",0,3.183,42,0.0483809523809524,"Keyboard","AllSafe"
"25",0,3.219,42,0.0483809523809524,"Keyboard","AllSafe"
"50",0,3.279,42,0.0483809523809524,"Keyboard","AllSafe"
"100",0,3.444,42,0.0483809523809524,"Keyboard","AllSafe"
"200",0,3.753,42,0.0483809523809524,"Keyboard","AllSafe"
"400",0.013,4.587,42,0.0483809523809524,"Keyboard","AllSafe"
"800",0.987,20.535,42,0.0483809523809524,"Keyboard","AllSafe"
"AllToxic",0.292,0,8.169,0.401028277634961,"BOIN","AllToxic"
"10",0.62,7.086,8.169,0.401028277634961,"BOIN","AllToxic"
"25",0.064,0.939,8.169,0.401028277634961,"BOIN","AllToxic"
"50",0.024,0.144,8.169,0.401028277634961,"BOIN","AllToxic"
"100",0,0,8.169,0.401028277634961,"BOIN","AllToxic"
"200",0,0,8.169,0.401028277634961,"BOIN","AllToxic"
"400",0,0,8.169,0.401028277634961,"BOIN","AllToxic"
"800",0,0,8.169,0.401028277634961,"BOIN","AllToxic"
"AllToxic",0.292,0,8.169,0.401028277634961,"Keyboard","AllToxic"
"10",0.62,7.086,8.169,0.401028277634961,"Keyboard","AllToxic"
"25",0.064,0.939,8.169,0.401028277634961,"Keyboard","AllToxic"
"50",0.024,0.144,8.169,0.401028277634961,"Keyboard","AllToxic"
"100",0,0,8.169,0.401028277634961,"Keyboard","AllToxic"
"200",0,0,8.169,0.401028277634961,"Keyboard","AllToxic"
"400",0,0,8.169,0.401028277634961,"Keyboard","AllToxic"
"800",0,0,8.169,0.401028277634961,"Keyboard","AllToxic"
